ID,Language,Subscription Type,Subscription Event Type,Purchase Store, Amount Converted ,Subscription Length,Free Trial User,Web User,Email Subscriber,Push Notifications,Open Count,Click Count,Send Count
1,POR,Limited,INITIAL_PURCHASE,App, -   ,182,0,0,1,1,7,0,63
2,EBR,Limited,INITIAL_PURCHASE,Web, 39.00 ,92,0,1,0,1,3,0,4
3,ESP,Limited,INITIAL_PURCHASE,Web, -   ,365,0,1,1,1,0,0,1
4,KOR,Limited,INITIAL_PURCHASE,App, -   ,92,0,0,1,1,0,0,14
5,ENG,Limited,INITIAL_PURCHASE,App, -   ,92,0,1,1,1,5,1,80
6,ESP,Limited,INITIAL_PURCHASE,Web, 38.34 ,92,0,0,1,1,1,0,162
7,ESP,Limited,RENEWAL,Web, 79.00 ,113,0,0,1,1,0,0,2
8,DEU,Limited,INITIAL_PURCHASE,Web, 38.40 ,92,0,0,1,1,17,4,25
9,DEU,Limited,INITIAL_PURCHASE,Web, 43.16 ,97,1,1,0,1,11,0,52
10,ESP,Limited,RENEWAL,App, -   ,350,1,0,0,1,0,0,1
11,FRA,Limited,RENEWAL,App, -   ,366,0,0,0,1,NULL,NULL,NULL
12,ESP,Limited,INITIAL_PURCHASE,Web, 35.97 ,96,1,1,1,1,0,0,94
13,GLE,Limited,RENEWAL,Web, 14.40 ,427,0,1,0,1,70,0,70
14,ALL,Limited,INITIAL_PURCHASE,Web, 143.76 ,730,0,1,1,1,37,6,174
15,ESP,Limited,INITIAL_PURCHASE,App, -   ,182,0,0,1,1,0,0,15
17,ALL,Lifetime,INITIAL_PURCHASE,Web, 199.00 ,28771,1,1,1,1,6,3,8
18,SVE,Limited,INITIAL_PURCHASE,Web, 104.05 ,564,0,1,1,1,1,0,2
19,ITA,Limited,INITIAL_PURCHASE,App, -   ,183,0,0,1,1,0,0,2
21,JPN,Limited,INITIAL_PURCHASE,Web, 13.94 ,366,0,1,0,1,NULL,NULL,NULL
22,ENG,Limited,INITIAL_PURCHASE,Web, 39.50 ,91,0,0,1,1,2,0,8
23,ESP,Lifetime,INITIAL_PURCHASE,Web, -   ,29136,0,0,1,1,0,0,2
24,FRA,Limited,INITIAL_PURCHASE,Web, -   ,365,0,1,0,1,2,0,3
25,ESP,Limited,RENEWAL,App, -   ,460,0,0,1,1,0,0,1
26,RUS,Limited,INITIAL_PURCHASE,App, -   ,330,0,0,0,1,0,0,1
27,ESC,Limited,INITIAL_PURCHASE,Web, 65.94 ,286,0,1,0,1,NULL,NULL,NULL
28,EBR,Limited,INITIAL_PURCHASE,Web, 23.62 ,365,0,1,0,1,NULL,NULL,NULL
29,ENG,Limited,INITIAL_PURCHASE,Web, 35.97 ,91,0,1,1,1,243,4,316
30,FRA,Limited,INITIAL_PURCHASE,Web, 9.91 ,731,0,1,0,1,NULL,NULL,NULL
31,ALL,Lifetime,INITIAL_PURCHASE,Web, 199.00 ,28775,0,0,1,1,7,5,23
32,ESP,Lifetime,INITIAL_PURCHASE,App, -   ,28767,1,1,1,1,2,0,8
34,ENG,Limited,RENEWAL,App, -   ,102,1,0,0,1,0,0,1
35,EBR,Limited,INITIAL_PURCHASE,Web, 35.97 ,95,1,1,0,1,NULL,NULL,NULL
36,ESC,Limited,INITIAL_PURCHASE,App, -   ,182,0,0,0,1,NULL,NULL,NULL
